tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.25,0.4286,42,Transition,-9.944,27.38,0.223,0.091,0.2254,Transition,-9.206,26.909,0.2236,0.087,0.739,-0.471,0
0.25,0.4286,123,Transition,-11.888,26.743,0.2253,0.0888,0.2185,Transition,-11.742,26.167,0.2279,0.0853,0.147,-0.576,0
0.25,0.4286,777,Transition,-11.543,26.809,0.2313,0.086,0.2292,Transition,-11.312,26.919,0.2305,0.0863,0.231,0.11,0
0.25,0.4286,999,Escalation,-16.569,28.821,0.2373,0.1003,0.2088,Transition,-11.334,27.616,0.2249,0.0937,5.235,-1.204,1
0.25,0.4286,2024,Transition,-13.859,26.112,0.2304,0.0861,0.214,Transition,-11.479,27.684,0.229,0.0911,2.38,1.572,0
0.25,0.5,42,Escalation,-19.866,28.226,0.2561,0.0933,0.2121,Escalation,-21.56,28.343,0.2608,0.0923,-1.694,0.117,0
0.25,0.5,123,Escalation,-21.173,28.507,0.2633,0.0909,0.2217,Escalation,-18.564,27.808,0.26,0.0863,2.61,-0.699,0
0.25,0.5,777,Escalation,-16.623,27.613,0.2532,0.0867,0.2282,Escalation,-16.138,27.907,0.2561,0.0852,0.486,0.294,0
0.25,0.5,999,Escalation,-20.552,29.767,0.2611,0.0998,0.216,Escalation,-19.06,27.712,0.2618,0.0857,1.492,-2.054,0
0.25,0.5,2024,Escalation,-19.429,24.635,0.2492,0.0776,0.2048,Escalation,-17.757,26.458,0.2546,0.0814,1.673,1.824,0
0.3,0.0,42,Deterrence,76.208,32.326,0.0,0.1659,0.2967,Deterrence,76.478,31.47,0.0,0.1613,0.27,-0.856,0
0.3,0.0,123,Deterrence,76.17,28.663,0.0,0.1468,0.2964,Deterrence,76.478,28.081,0.0,0.1436,0.308,-0.582,0
0.3,0.0,777,Deterrence,76.184,28.164,0.0,0.1443,0.2965,Deterrence,76.478,28.979,0.0,0.1485,0.294,0.815,0
0.3,0.0,999,Deterrence,76.193,27.021,0.0,0.1383,0.2966,Deterrence,76.478,34.884,0.0,0.1792,0.285,7.863,0
0.3,0.0,2024,Deterrence,76.21,31.615,0.0,0.1623,0.2967,Deterrence,76.478,34.678,0.0,0.1782,0.268,3.063,0
0.3,0.0714,42,Deterrence,59.856,20.694,0.037,0.0925,0.2917,Deterrence,59.611,20.442,0.0369,0.0913,-0.246,-0.252,0
0.3,0.0714,123,Deterrence,58.775,21.882,0.0395,0.0979,0.2912,Deterrence,59.165,21.896,0.0389,0.098,0.389,0.014,0
0.3,0.0714,777,Deterrence,59.906,20.042,0.0373,0.089,0.2932,Deterrence,59.505,19.892,0.0383,0.0878,-0.4,-0.15,0
0.3,0.0714,999,Deterrence,60.297,19.269,0.037,0.0851,0.2954,Deterrence,59.165,18.511,0.039,0.0805,-1.132,-0.758,0
0.3,0.0714,2024,Deterrence,60.79,21.043,0.0355,0.0947,0.2944,Deterrence,59.942,20.853,0.0375,0.093,-0.848,-0.19,0
0.3,0.1429,42,Deterrence,43.862,22.403,0.0767,0.0892,0.2855,Deterrence,44.165,22.104,0.0756,0.088,0.303,-0.299,0
0.3,0.1429,123,Deterrence,45.31,21.916,0.0723,0.0882,0.2829,Deterrence,43.901,22.098,0.0753,0.0883,-1.41,0.181,0
0.3,0.1429,777,Deterrence,43.589,23.83,0.0783,0.0959,0.2883,Deterrence,44.465,23.41,0.0773,0.0935,0.876,-0.419,0
0.3,0.1429,999,Deterrence,44.06,24.05,0.0762,0.0979,0.2852,Deterrence,45.122,23.998,0.0734,0.0984,1.062,-0.052,0
0.3,0.1429,2024,Deterrence,44.561,23.563,0.0758,0.0951,0.2888,Deterrence,44.625,22.926,0.0759,0.0916,0.064,-0.637,0
0.3,0.2143,42,Deterrence,29.667,24.786,0.1155,0.0913,0.2796,Deterrence,27.868,25.419,0.1201,0.0933,-1.799,0.633,0
0.3,0.2143,123,Deterrence,29.72,24.012,0.1169,0.0863,0.2844,Deterrence,29.946,23.104,0.1167,0.0813,0.226,-0.909,0
0.3,0.2143,777,Deterrence,30.665,24.185,0.1136,0.0882,0.2822,Deterrence,30.842,24.619,0.1126,0.0906,0.178,0.434,0
0.3,0.2143,999,Deterrence,31.54,23.773,0.112,0.0861,0.2858,Deterrence,30.937,24.705,0.1137,0.0904,-0.603,0.932,0
0.3,0.2143,2024,Deterrence,29.067,23.308,0.1151,0.0845,0.2734,Deterrence,28.382,23.817,0.1183,0.0858,-0.685,0.509,0
0.3,0.2857,42,Deterrence,18.806,26.577,0.1493,0.092,0.2786,Deterrence,19.61,26.186,0.147,0.0904,0.804,-0.392,0
0.3,0.2857,123,Deterrence,19.619,25.206,0.1482,0.0845,0.2828,Deterrence,19.016,25.314,0.1503,0.0843,-0.603,0.108,0
0.3,0.2857,777,Deterrence,19.197,26.045,0.1487,0.0896,0.2783,Deterrence,18.733,25.333,0.1499,0.0852,-0.464,-0.712,0
0.3,0.2857,999,Deterrence,19.664,25.518,0.1458,0.088,0.2755,Deterrence,17.196,25.354,0.1497,0.0876,-2.468,-0.163,0
0.3,0.2857,2024,Deterrence,16.724,25.466,0.1523,0.0871,0.2688,Deterrence,19.159,25.625,0.1465,0.0886,2.434,0.158,0
